episode,air_date_tvmaze,air_date_thetvdb,air_date_wiki,air_date_thrawn,production_number,title_thrawn,title_tvmaze,title_thetvdb,title_wiki
S17E33,2005-07-09,2005-07-09,2005-07-09,2005-07-09,CP-1731,Coast to Coast 79,Coast to Coast #79,Coast to Coast 79,Coast to Coast 77
S17E34,2005-07-16,2005-07-16,2005-07-16,2005-07-16,CP-1732,Coast to Coast 80,Coast to Coast #80,Coast to Coast 80,Coast to Coast 78
S17E35,2005-07-23,2005-07-23,2005-07-23,2005-07-23,CP-1736,Coast to Coast 81,Coast to Coast #81,Coast to Coast 81,Coast to Coast 79
S17E36,2005-08-06,2005-08-06,2005-08-06,2005-08-06,CP-1711,Coast to Coast 72,Coast to Coast #72,Coast to Coast 72,Coast to Coast 80
S18E01,2005-09-10,2005-09-10,2005-09-10,2005-09-10,CP-1808,Coast to Coast 89,Coast to Coast #89,Coast to Coast 96,Coast to Coast 81
S18E02,2005-09-10,2005-09-10,2005-09-10,2005-09-10,CP-1817,Coast to Coast 96,Coast to Coast #96,Coast to Coast 89,Coast to Coast 82
S18E03,2005-09-17,2005-09-17,2005-09-17,2005-09-17,CP-1807,Coast to Coast 88,Coast to Coast #88,Coast to Coast 88,Coast to Coast 83
S18E04,2005-09-24,2005-09-24,2005-09-24,2005-09-24,CP-1809,Coast to Coast 90,Coast to Coast #90,Coast to Coast 90,Coast to Coast 84
S18E05,2005-10-01,2005-10-01,2005-10-01,2005-10-01,CP-1801,Coast to Coast 82,Coast to Coast #82,Coast to Coast 82,Coast to Coast 85
S18E06,2005-11-05,2005-11-05,2005-11-05,2005-11-05,CP-1804,Coast to Coast 85,Coast to Coast #85,Coast to Coast 85,Coast to Coast 86
S18E07,2005-11-12,2005-11-12,2005-11-12,2005-11-12,CP-1823,Bad Girls! 8 Special Edition,Bad Girls! #8,Bad Girls! 8 Special Edition,Bad Girls! 8 Special Edition
S18E08,2005-11-19,2005-11-19,2005-11-19,2005-11-19,CP-1824,In Harms Way Special Edition,In Harm's Way Special Edition,In Harm's Way Special Edition,In Harm's Way Special Edition
S18E09,2005-11-26,2005-11-26,2005-11-26,2005-11-26,CP-1813,Las Vegas Heat 2 Special Edition,Las Vegas Heat #2,Las Vegas Heat 2 Special Edition,Las Vegas Heat 2 Special Edition
S18E10,2005-12-03,2005-12-03,2005-12-03,2005-12-03,CP-1802,Coast to Coast 83,Coast to Coast #83,Coast to Coast 83,Coast to Coast 87
S18E11,2005-12-10,2005-12-10,2005-12-10,2005-12-10,CP-1803,Coast to Coast 84,Coast to Coast #84,Coast to Coast 84,Coast to Coast 88
S18E12,2005-12-17,2005-12-17,2005-12-17,2005-12-17,CP-1828,Ho! Ho! Ho! Special Edition 3,Ho! Ho! Ho! #3,Ho! Ho! Ho! Special Edition 3,Ho! Ho! Ho! 3 Special Edition
S18E13,2006-01-07,2006-01-07,2006-01-07,2006-01-07,CP-1805,Coast to Coast 86,Coast to Coast #86,Coast to Coast 86,Coast to Coast 89
S18E14,2006-01-14,2006-01-14,2006-01-14,2006-01-14,CP-1806,Coast to Coast 87,Coast to Coast #87,Coast to Coast 87,Coast to Coast 90
S18E15,2006-01-21,2006-01-21,2006-01-21,2006-01-21,CP-1810,Coast to Coast 91,Coast to Coast #91,Coast to Coast 91,Coast to Coast 91
S18E16,2006-01-28,2006-01-28,2006-01-28,2006-01-28,CP-1811,Coast to Coast 92,Coast to Coast #92,Coast to Coast 92,Coast to Coast 92
S18E17,2006-02-04,2006-02-04,2006-02-04,2006-02-04,CP-1816,Coast to Coast 95,Coast to Coast #95,Coast to Coast 95,Coast to Coast 93
S18E18,2006-02-04,2006-02-04,2006-02-04,2006-02-04,CP-1818,Coast to Coast 97,Coast to Coast #97,Coast to Coast 97,Coast to Coast 94
S18E19,2006-02-11,2006-02-11,2006-02-11,2006-02-11,CP-1814,Las Vegas Heat 3 Special Edition,Las Vegas Heat #3,Las Vegas Heat 3 Special Edition,Las Vegas Heat 3 Special Edition
S18E20,2006-02-25,2006-02-25,2006-02-25,2006-02-25,CP-1815,Coast to Coast 94,Coast to Coast #94,Coast to Coast 94,Coast to Coast 95
S18E21,2006-03-04,2006-03-04,2006-03-04,2006-03-04,CP-1812,Coast to Coast 93,Coast to Coast #93,Coast to Coast 93,Coast to Coast 96
S18E22,2006-03-11,2006-03-11,2006-03-11,2006-03-11,CP-1819,Coast to Coast 98,Coast to Coast #98,Coast to Coast 98,Coast to Coast 97
S18E23,2006-03-18,2006-03-18,2006-03-18,2006-03-18,CP-1831,Coast to Coast 105,Coast to Coast #105,Coast to Coast 105,Coast to Coast 98
S18E24,2006-03-25,2006-03-25,2006-03-25,2006-03-25,CP-1821,Coast to Coast 99,Coast to Coast #99,Coast to Coast 99,Coast to Coast 99
S18E25,2006-04-08,2006-04-08,2006-04-08,2006-04-08,CP-1822,Coast to Coast 100,Coast to Coast #100,Coast to Coast 100,Coast to Coast 100
S18E26,2006-04-15,2006-04-15,2006-04-15,2006-04-15,CP-1825,Coast to Coast 101,Coast to Coast #101,Coast to Coast 101,Coast to Coast 101
S18E27,2006-04-29,2006-04-29,2006-04-29,2006-04-29,CP-1835,Drug Arrests Special Edition,Drug Arrests Special Edition,Drug Arrests Special Edition,Drug Arrests Special Edition
S18E28,2006-05-06,2006-05-06,2006-05-06,2006-05-06,CP-1830,Bad Girls! 9 Special Edition,Bad Girls #9,Bad Girls! 9 Special Edition,Bad Girls! 9 Special Edition
S18E29,2006-05-20,2006-05-20,2006-05-20,2006-05-20,CP-1820,650th Milestone Episode Special Edition,650th Milestone Episode,650th Milestone Episode,650th Milestone Episode
S18E30,2006-05-20,2006-05-20,2006-05-20,2006-05-20,CP-1833,Palm Springs Weekend Special,Palm Springs Weekend Special Edition,Palm Springs Weekend Special Edition,Palm Springs Weekend Special Edition
S18E31,2006-06-03,2006-06-03,2006-06-03,2006-06-03,CP-1826,Coast to Coast 102,Coast to Coast #102,Coast to Coast 102,Coast to Coast 102
S18E32,2006-06-10,2006-06-10,2006-06-10,2006-06-10,CP-1827,Coast to Coast 103,Coast to Coast #103,Coast to Coast 103,Coast to Coast 103
S18E33,2006-06-17,2006-06-17,2006-06-17,2006-06-17,CP-1829,Coast to Coast 104,Coast to Coast #104,Coast to Coast 104,Coast to Coast 104
S18E34,2006-07-08,2006-07-08,2006-07-08,2006-07-08,CP-1832,Coast to Coast 106,Coast to Coast #106,Coast to Coast 106,Coast to Coast 105
S18E35,2006-07-15,2006-07-15,2006-07-15,2006-07-15,CP-1834,Coast to Coast 107,Coast to Coast #107,Coast to Coast 107,Coast to Coast 106
S18E36,2006-07-22,2006-07-22,2006-07-22,2006-07-22,CP-1836,Coast to Coast 108,Coast to Coast #108,Coast to Coast 108,Coast to Coast 107
S19E01,2006-09-09,2006-09-09,2006-09-09,2006-09-09,CP-1901,Coast to Coast 109,Coast to Coast #109,Coast to Coast 109,Coast to Coast 108
S19E02,2006-09-09,2006-09-09,2006-09-09,2006-09-09,CP-1904,Coast to Coast 112,Coast to Coast #112,Coast to Coast 112,Coast to Coast 109
S19E03,2006-09-16,2006-09-16,2006-09-16,2006-09-16,CP-1902,Coast to Coast 110,Coast to Coast #110,Coast to Coast 110,Coast to Coast 110
S19E04,2006-09-23,2006-09-23,2006-09-23,2006-09-23,CP-1903,Coast to Coast 111,Coast to Coast #111,Coast to Coast 111,Coast to Coast 111
S19E05,2006-09-30,2006-09-30,2006-09-30,2006-09-30,CP-1907,Coast to Coast 113,Coast to Coast #113,Coast to Coast 113,Coast to Coast 112
S19E06,2006-11-04,2006-11-04,2006-11-04,2006-11-04,CP-1906,Drug Arrests 2 Special Edition,Drug Arrests #2,Drug Arrests Special Edition 2,Drug Arrests 2 Special Edition
S19E07,2006-11-11,2006-11-11,2006-11-11,2006-11-11,CP-1905,Florida Heat 1 Special Edition,Florida Heat #1,Florida Heat Special Edition #1,Florida Heat 1 Special Edition
S19E08,2006-11-18,2006-11-18,2006-11-18,2006-11-18,CP-1908,Police Chases Special Edition,Police Chases Special Edition,Police Chases Special Edition,Police Chases Special Edition
S19E09,2006-11-25,2006-11-25,2006-11-25,2006-11-25,CP-1931,Bad Girls! 10 Special Edition,Bad Girls! #10,Bad Girls Special Edition #10,Bad Girls! 10 Special Edition
S19E10,2006-12-02,2006-12-02,2006-12-02,2006-12-02,CP-1911,Coast to Coast 114,Coast to Coast #114,Coast to Coast 114,Coast to Coast 113
S19E11,2006-12-09,2006-12-09,2006-12-09,2006-12-09,CP-1913,Coast to Coast 115,Coast to Coast #115,Coast to Coast 115,Coast to Coast 114
S19E12,2006-12-16,2006-12-16,2006-12-16,2006-12-16,CP-1923,Ho! Ho! Ho! 4 Special Edition,Ho! Ho! Ho! #4,Ho! Ho! Ho! Special Edition #4,Ho! Ho! Ho! 4 Special Edition
S19E13,2006-12-23,2006-12-23,2006-12-23,2006-12-23,CP-1915,Coast to Coast 116,Coast to Coast #116,Coast to Coast 116,Coast to Coast 115
S19E14,2007-01-06,2007-01-06,2007-01-06,2007-01-07,CP-1917,Coast to Coast 117,Coast to Coast #117,Coast to Coast 117,Coast to Coast 116
S19E15,2007-01-20,2007-01-20,2007-01-20,2007-01-20,CP-1919,Coast to Coast 118,Coast to Coast #118,Coast to Coast 118,Coast to Coast 117
S19E16,2007-01-27,2007-01-27,2007-01-27,2007-01-27,CP-1921,Coast to Coast 119,Coast to Coast #119,Coast to Coast 119,Coast to Coast 118
S19E17,2007-02-03,2007-02-03,2007-02-03,2007-02-03,CP-1909,Florida Heat 2 Special Edition,Florida Heat #2,Florida Heat Special Edition #2,Florida Heat 2 Special Edition
S19E18,2007-02-17,2007-02-17,2007-02-17,2007-02-17,CP-1930,Tough Takedowns Special Edition,Tough Takedowns Special Edition,Tough Takedowns Special Edition,Tough Takedowns Special Edition
S19E19,2007-02-24,2007-02-24,2007-02-24,2007-02-24,CP-1916,Liar Liar Special Edition,Liar Liar #1,Liar Liar Special Edition,Liar Liar 1 Special Edition
S19E20,2007-03-03,2007-03-03,2007-03-03,2007-03-03,CP-1922,Coast to Coast 120,Coast to Coast #120,Coast to Coast 120,Coast to Coast 119
S19E21,2007-03-10,2007-03-10,2007-03-10,2007-03-10,CP-1924,Coast to Coast 121,Coast to Coast #121,Coast to Coast 121,Coast to Coast 120
S19E22,2007-03-17,2007-03-17,2007-03-17,2007-03-17,CP-1926,Coast to Coast 122,Coast to Coast #122,Coast to Coast 122,Coast to Coast 121
S19E23,2007-03-24,2007-03-24,2007-03-24,2007-03-24,CP-1927,Coast to Coast 123,Coast to Coast #123,Coast to Coast 123,Coast to Coast 122
S19E24,2007-04-07,2007-04-07,2007-04-07,2007-04-07,CP-1928,Coast to Coast 124,Coast to Coast #124,Coast to Coast 124,Coast to Coast 123
S19E25,2007-04-28,2007-04-28,2007-04-28,2007-04-28,CP-1910,Police Pullovers 1 Special Edition,Police Pullovers #1,Police Pullovers Special Edition #1,Police Pullovers 1 Special Edition
S19E26,2007-04-28,2007-04-28,2007-04-28,2007-04-28,CP-1920,Police Pullovers 2 Special Edition,Police Pullovers #2,Police Pullovers Special Edition #2,Police Pullovers 2 Special Edition
S19E27,2007-05-19,2007-05-19,2007-05-19,2007-05-19,CP-1912,High Crimes 2 Special Edition,High Crimes #2,High Crimes Special Edition #2,High Crimes 2 Special Edition
S19E28,2007-05-19,2007-05-19,2007-05-19,2007-05-19,CP-1918,Ohio Drug Arrests Special Edition,Ohio Drug Arrests Special Edition,Ohio Drug Arrests Special Edition,Ohio Drug Arrests Special Edition
S19E29,2007-06-02,2007-06-02,2007-06-02,2007-06-02,CP-1932,Coast to Coast 125,Coast to Coast #125,Coast to Coast 125,Coast to Coast 124
S19E30,2007-06-09,2007-06-09,2007-06-09,2007-06-09,CP-1933,Coast to Coast 126,Coast to Coast #126,Coast to Coast 126,Coast to Coast 125
S19E31,2007-06-16,2007-06-16,2007-06-16,2007-06-16,CP-1934,Coast to Coast 127,Coast to Coast #127,Coast to Coast 127,Coast to Coast 126
S19E32,2007-06-23,2007-06-23,2007-06-23,2007-06-23,CP-1935,Coast to Coast 128,Coast to Coast #128,Coast to Coast 128,Coast to Coast 127
S19E33,2007-07-07,2007-07-07,2007-07-07,2007-07-07,CP-1925,High Crimes 3 Special Edition,High Crimes #3,High Crimes Special Edition #3,High Crimes 3 Special Edition
S19E34,2007-07-14,2007-07-14,2007-07-14,2007-07-14,CP-1929,Street Crimes Special Edition,Street Crimes Special Edition,Street Crimes Special Edition,Street Crimes Special Edition
S19E35,2007-07-21,2007-07-21,2007-07-21,2007-07-21,CP-1914,Family Ties Special Edition,Family Ties #1,Family Ties Special Edition,Family Ties 1 Special Edition
S19E36,2007-07-28,2007-07-28,2007-07-28,2007-07-28,CP-1936,Coast to Coast 129,Coast to Coast #129,Coast to Coast 129,Coast to Coast 128
S20E01,2007-09-08,2007-09-08,2007-09-08,2007-09-08,CP-2009,Coast to Coast 133,Coast to Coast #133,Coast to Coast #133,Coast to Coast 129
S20E02,2007-09-08,2007-09-08,2007-09-08,2007-09-08,CP-2007,Evidence...What Evidence? 1 Special Edition,Evidence...What evidence? #1,Evidence...What evidence? #1,Evidence ... What Evidence? 1
S20E03,2007-09-15,2007-09-15,2007-09-15,2007-09-15,CP-2001,Coast to Coast 130,Coast To Coast #130,Coast to Coast #130,Coast to Coast 130
S20E04,2007-09-22,2007-09-22,2007-09-22,2007-09-22,CP-2002,Coast to Coast 131,Coast To Coast #131,Coast to Coast #131,Coast to Coast 131
S20E05,2007-09-29,2007-09-29,2007-09-29,2007-09-29,CP-2037,20 Years Caught on Tape,20 Years Caught on Tape (1) (60 min),20 Years Caught on Tape Part 1,20 Years Caught on Tape Part 1
S20E06,2007-09-29,2007-09-29,2007-09-29,2007-09-29,CP-2038,20 Years Caught on Tape,20 Years Caught on Tape (2),20 Years Caught on Tape Part 2,20 Years Caught on Tape Part 2
S20E07,2007-10-06,2007-10-06,2007-10-06,2007-10-06,CP-2003,Coast to Coast 132,Coast To Coast #132,Coast to Coast #132,Coast to Coast 132
S20E08,2007-10-20,2007-10-20,2007-10-20,2007-10-20,CP-2010,Coast to Coast 134,Coast To Coast #134,Coast to Coast #134,Coast to Coast 133
S20E09,2007-11-03,2007-11-03,2007-11-03,2007-11-03,CP-2006,Crimes in Progress Special Edition,Crimes In Progess Special Edition,Crimes In Progress Special Edition,Crimes In Progress Special Edition
S20E10,2007-11-10,2007-11-10,2007-11-10,2007-11-10,CP-2008,700th Milestone Episode,700th Milestone Episode,700th Milestone Episode,700th Milestone Episode
S20E11,2007-11-17,2007-11-17,2007-11-17,2007-11-17,CP-2004,Police Pullovers 3 Special Edition,Police Pullovers Special Edition #3,Police Pullovers Special Edition #3,Police Pullovers 3 Special Edition
S20E12,2007-11-24,2007-11-24,2007-11-24,2007-11-24,CP-2005,Stupid Criminals 2 Special Edition,Stupid Criminals Special Edition #2,Stupid Criminals Special Edition #2,Foolish Criminals 4
S20E13,2007-12-08,2007-12-08,2007-12-08,2007-12-08,CP-2011,Coast to Coast 135,Coast To Coast #135,Coast to Coast #135,Coast to Coast 134
S20E14,2007-12-15,2007-12-15,2007-12-15,2007-12-15,CP-2022,Family Feuds Special Edition,Family Feuds Special Edition,Family Feuds Special Edition,Family Feuds Special Edition
S20E15,2008-01-19,2008-01-19,2008-01-19,2008-01-19,CP-2013,Coast to Coast 136,Coast to Coast #136,Coast to Coast #136,Coast to Coast 135
S20E16,2008-01-26,2008-01-26,2008-01-26,2008-01-26,CP-2016,Coast to Coast 137,Coast to Coast #137,Coast to Coast #137,Coast to Coast 136
S20E17,2008-02-02,2008-02-02,2008-02-02,2008-02-02,CP-2027,Stupid Behavior 1 Special Edition,Stupid Behavior #1,Stupid Behavior #1,Strange Behavior 1
S20E18,2008-02-02,2008-02-02,2008-02-02,2008-02-02,CP-2034,Wild Chases Special Edition,Wild Chases Special Edition,Wild Chases Special Edition,Wild Chases Special Edition
S20E19,2008-02-16,2008-02-16,2008-02-16,2008-02-16,CP-2024,Chases and Takedowns Special Edition,Chases and Takedowns Special Edition,Chases and Takedowns Special Edition,Chases and Takedowns Special Edition
S20E20,2008-02-16,2008-02-16,2008-02-16,2008-02-16,CP-2035,Bad Girls! 11 Special Edition,Bad Girls #11,Bad Girls #11,Bad Girls! 11 Special Edition
S20E21,2008-02-23,2008-02-23,2008-02-23,2008-02-23,CP-2017,War on Drugs 3 Special Edition,War On Drugs #3,War On Drugs #3,War on Drugs 3
S20E22,2008-02-23,2008-02-23,2008-02-23,2008-02-23,CP-2015,Stupid Criminals 3 Special Edition,Stupid Criminals #3,Stupid Criminals #3,Foolish Criminals 5
S20E23,2008-03-01,2008-03-01,2008-03-01,2008-03-01,CP-2018,Takedowns Special Edition,Takedowns Special Edition,Takedowns Special Edition,Takedowns Special Edition
S20E24,2008-03-08,2008-03-08,2008-03-08,2008-03-08,CP-2020,Coast to Coast 138,Coast to Coast #138,Coast To Coast #138,Coast to Coast 137
S20E25,2008-03-15,2008-03-15,2008-03-15,2008-03-15,CP-2014,Strange Behavior 1 Special Edition,Strange Behavior #1,Strange Behavior #1,Strange Behavior 2
S20E26,2008-03-22,2008-03-22,2008-03-22,2008-03-22,CP-2025,Coast to Coast 139,Coast to Coast #139,Coast To Coast #139,Coast to Coast 138
S20E27,2008-03-29,2008-03-29,2008-03-29,2008-03-29,CP-2026,Coast to Coast 140,Coast to Coast #140,Coast To Coast #140,Coast to Coast 139
S20E28,2008-04-19,2008-04-19,2008-04-19,2008-04-19,CP-2023,In Denial Special Edition,In Denial Special Edition,In Denial Special Edition,In Denial 1 Special Edition
S20E29,2008-04-26,2008-04-26,2008-04-26,2008-04-26,CP-2012,Caught in the Act 3 Special Edition,Caught in the Act #3,Caught in the Act #3,Caught in the Act 3 Special Edition
S20E30,2008-05-17,2008-05-17,2008-05-17,2008-05-17,CP-2019,Stupid Criminals 4 Special Edition,Stupid Criminals #4,Stupid Criminals #4,Foolish Criminals 6
S20E31,2008-05-31,2008-05-31,2008-05-31,2008-05-31,CP-2028,Coast to Coast 141,Coast to Coast #141,Coast To Coast #141,Coast to Coast 140
S20E32,2008-06-07,2008-06-07,2008-06-07,2008-05-07,CP-2021,What Were They Thinking 1 Special Edition,What Were They Thinking #1,What Were They Thinking #1,What Were They Thinking? 1
S20E33,2008-06-14,2008-06-14,2008-06-14,2008-06-14,CP-2030,What Were They Thinking 2 Special Edition,What Were They Thinking # 2,What Were They Thinking # 2,What Were They Thinking? 2
S20E34,2008-06-21,2008-06-21,2008-06-21,2008-06-21,CP-2031,Stupid Behavior 2 Special Edition,Stupid Behavior #2,Stupid Behavior #2,Strange Behavior 3
S20E35,2008-07-12,2008-07-12,2008-07-12,2008-07-12,CP-2029,Coast to Coast 142,Coast to Coast #142,Coast To Coast #142,Coast to Coast 141
S20E36,2008-07-19,2008-07-19,2008-07-19,2008-07-19,CP-2033,Coast to Coast 143,Coast to Coast #143,Coast to Coast #143,Coast to Coast 142
S20E37,2008-07-26,2008-07-26,2008-07-26,2008-07-26,CP-2036,Coast to Coast 144,Coast To Coast #144,Coast To Coast #144,Coast to Coast 143
S20E38,2008-08-02,2008-08-02,2008-08-02,2008-08-02,CP-2032,Police Pullovers 4 Special Edition,Police Pullovers #4,Police Pullovers #4,Police Pullovers 4 Special Edition
S21E01,2008-09-06,2008-09-06,2008-09-06,2008-09-06,CP-2107,Back to Broward Special Edition,Back to Broward Special Edition,Back to Broward Special Edition,Back to Broward Special Edition
S21E02,2008-09-06,2008-09-06,2008-09-06,2008-09-06,CP-2101,What a Sap Special Edition,What a Sap Special Edition,What a Sap Special Edition,What a Sap Special Edition
S21E03,2008-09-13,2008-09-13,2008-09-13,2008-09-13,CP-2102,Stupid Behavior 3 Special Edition,Stupid Behavior #3,Stupid Behavior #3,Strange Behavior 4
S21E04,2008-09-20,2008-09-20,2008-09-20,2008-09-20,CP-2103,Resisting Arrest 4 Special Edition,Resisting Arrest #4,Resisting Arrest #4,Resisting Arrest 5
S21E05,2008-09-27,2008-09-27,2008-09-27,2008-09-27,CP-2104,Black & Blue & White Special Edition,Black & Blue & White Special Edition,Black & Blue & White,Black & Blue & White Special Edition
S21E06,2008-10-04,2008-10-04,2008-10-04,2008-10-04,CP-2105,Coast to Coast 145,Coast to Coast #145,Coast to Coast,Coast to Coast 144
S21E07,2008-10-11,2008-10-11,2008-10-11,2008-10-11,CP-2106,What! Who Me? Special Edition,What! Who Me? Special Edition,What! Who Me?,What! Who Me? Special Edition
S21E08,2008-11-01,2008-11-01,2008-11-01,2008-11-01,CP-2108,Morons on Parade Special Edition,Morons on Parade Special Edition,Morons on Parade,Morons on Parade Special Edition
S21E09,2008-11-08,2008-11-08,2008-11-08,2008-11-08,CP-2109,Anger Management Special Edition,Anger Management Special Edition,Anger Management,Anger Management Special Edition
S21E10,2008-11-15,2008-11-15,2008-11-15,2008-11-15,CP-2110,Liar Liar 2 Special Edition,Liar Liar #2,Liar Liar Special Edition #2,Liar Liar 2 Special Edition
S21E11,2008-11-22,2008-11-22,2008-11-22,2008-11-22,CP-2111,Evidence...What Evidence? 2 Special Edition,Evidence? What Evidence? #2,Evidence? What Evidence? #2,Evidence ... What Evidence? 2
S21E12,2008-12-06,2008-12-06,2008-12-06,2008-12-06,CP-2112,Coast to Coast 146,Coast to Coast #146,Coast to Coast,Coast to Coast 145
S21E13,2008-12-13,2008-12-13,2008-12-13,2008-12-13,CP-2126,Ho! Ho! Ho! 5 Special Edition,Ho! Ho! Ho! #5,Ho! Ho! Ho! #6,Ho! Ho! Ho! 5 Special Edition
S21E14,2009-01-17,2009-01-17,2009-01-17,2009-01-17,CP-2113,Coast to Coast 147,Coast to Coast #147,Coast to Coast #147,Coast to Coast 146
S21E15,2009-01-24,2009-01-24,2009-01-24,2009-01-24,CP-2114,Coast to Coast 148,Coast to Coast #148,Coast to Coast,Coast to Coast 147
S21E16,2009-01-31,2009-01-31,2009-01-31,2009-01-31,CP-2115,Coast to Coast 149,Coast to Coast #149,Coast to Coast,Coast to Coast 148
S21E17,2009-02-06,2009-02-06,2009-02-06,2008-02-06,CP-2116,Coast to Coast 150,Coast to Coast #150,Coast to Coast,Coast to Coast 149
S21E18,2009-02-14,2009-02-14,2009-02-14,2008-02-14,CP-2117,Upon Further Investigation Special Edition,Upon Further Investigation Special Edition,Upon Further Investigation,Upon Further Investigation Special Edition
S21E19,2009-02-21,2009-02-21,2009-02-21,2009-02-21,CP-2118,Neighborhood Busts Special Edition,Neighborhood Busts #1,Neighborhood Busts,Neighborhood Busts 1
S21E20,2009-02-28,2009-02-28,2009-02-28,2009-02-28,CP-2119,In Denial 2 Special Edition,In Denial #2,In Denial #2,In Denial 2 Special Edition
S21E21,2009-03-07,2009-03-08,2009-03-07,2009-03-07,CP-2120,Liar Liar 3 Special Edition,Liar Liar #3,Liar Liar No. 3,Liar Liar 3 Special Edition
S21E22,2009-03-14,2009-03-14,2009-03-14,2009-03-14,CP-2121,On the Run Special Edition,On the Run Special Edition,On the Run,On the Run Special Edition
S21E23,2009-03-21,2009-03-21,2009-03-21,2009-03-21,CP-2122,750th Milestone Episode,750th Milestone Episode,750th Milestone Episode,750th Episode Milestone
S21E24,2009-03-21,2009-03-21,2009-03-21,2009-03-21,CP-2128,Bad Girls! 12 Special Edition,Bad Girls! #12,Bad Girls No. 12,Bad Girls! 12 Special Edition
S21E25,2009-03-28,2009-03-28,2009-03-28,2009-03-28,CP-2123,Dazed and Confused Special Edition,Dazed and Confused #1,Dazed and Confused,Dazed and Confused 1
S21E26,2009-03-28,2009-03-28,2009-03-28,2009-03-28,CP-2124,High Crimes 4 Special Edition,High Crimes #4,High Crimes No. 4,High Crimes 4 Special Edition
S21E27,2009-04-11,2009-04-11,2009-04-11,2009-04-11,CP-2127,Coast to Coast 151,Coast to Coast #151,Coast to Coast,Coast to Coast 150
S21E28,2009-04-25,2009-04-25,2009-04-25,2009-04-25,CP-2129,Police Pullovers 5 Special Edition,Police Pullovers #5,Police Pullovers No. 5,Police Pullovers 5 Special Edition
S21E29,2009-04-25,2009-04-25,2009-04-25,2009-04-25,CP-2125,From Bad to Worse Special Edition,From Bad to Worse Special Edition,From Bad to Worse,From Bad to Worse Special Edition
S21E30,2009-05-16,2009-05-16,2009-05-16,2009-05-16,CP-2135,Odd Arrests Special Edition,Odd Arrests #1,Coast to Coast #152,Odd Arrests 1
S21E31,2009-05-16,2009-05-16,2009-05-16,2009-05-16,CP-2132,Coast to Coast 152,Coast to Coast #152,Odd Arrests,Coast to Coast 151
S21E32,2009-05-30,2009-05-30,2009-05-30,2009-05-30,CP-2130,Coast to Coast 153,Coast to Coast #153,Coast to Coast,Coast to Coast 152
S21E33,2009-06-06,2009-06-06,2009-06-06,2009-06-06,CP-2131,Coast to Coast 154,Coast to Coast #154,Coast to Coast #153,Coast to Coast 153
S21E34,2009-07-11,2009-07-11,2009-07-11,2009-07-11,CP-2133,Coast to Coast 155,Coast to Coast #155,Coast to Coast #154,Coast to Coast 154
S21E35,2009-07-18,2009-07-18,2009-07-18,2009-07-18,CP-2134,Coast to Coast 156,Coast to Coast #156,Coast to Coast #155,Coast to Coast 155
S21E36,2009-07-25,2009-07-25,2009-07-25,2009-07-25,CP-2136,Coast to Coast 157,Coast to Coast #157,Coast to Coast #156,Coast to Coast 156
S22E01,2009-09-12,2009-09-12,2009-09-12,,CP-2207,,Odd Arrests #2,Odd Arrests #2,Odd Arrests 2
S22E02,2009-09-12,2009-09-12,2009-09-12,,CP-2206,,"Liar, Liar #4","Liar, Liar #4",Liar Liar 4 Special Edition
S22E03,2009-09-19,2009-09-19,2009-09-19,,CP-2205,,Domestic Distrubances Special Edition,Domestic Disturbances,Domestic Disturbances Special Edition
S22E04,2009-09-26,2009-09-26,2009-09-26,,CP-2204,,Dazed & Confused #2,Dazed & Confused #2,Dazed and Confused 2
S22E05,2009-10-03,2009-10-03,2009-10-03,,CP-2203,,Family Ties #2,Family Ties #2,Family Ties 2 Special Edition
S22E06,2009-10-10,2009-10-10,2009-10-10,,CP-2201,,Neighborhood Busts #2,Neighborhood Busts #2,Neighborhood Busts 2
S22E07,2009-10-24,2009-10-24,2009-10-24,,CP-2202,,In Denial #3,In Denial #3,In Denial 3 Special Edition
S22E08,2009-11-07,2009-11-07,2009-11-07,,CP-2209,,Dangerous Arrests,Dangerous Arrests #4,Dangerous Arrests
S22E09,2009-11-14,2009-11-14,2009-11-14,,CP-2212,,Stupid Behavior #4,Stupid Behavior #4,Strange Behavior 4
S22E10,2009-11-21,2009-11-21,2009-11-21,,CP-2214,,Slacker Crimes Special Edition,Slacker Crimes: Special Edition,Slacker Crimes Special Edition
S22E11,2009-11-28,2009-11-28,2009-11-28,,CP-2208,,Coast to Coast #158,Coast to Coast #158,Coast to Coast 157
S22E12,2009-12-05,2009-12-05,2009-12-05,,CP-2210,,Coast to Coast #159,Coast to Coast #159,Coast to Coast 158
S22E13,2009-12-12,2009-12-12,2009-12-12,,CP-2236,,Ho! Ho! Ho! #6,Ho! Ho! Ho! #7,Ho! Ho! Ho! 6 Special Edition
S22E14,2010-01-09,2010-01-09,2010-01-09,,CP-2211,,Bad Girls #13,Bad Girls #13,Bad Girls! 13 Special Edition
S22E15,2010-01-16,2010-01-16,2010-01-16,,CP-2213,,Coast to Coast #160,Coast to Coast #160,Coast to Coast 159
S22E16,2010-01-23,2010-01-23,2010-01-23,,CP-2215,,Coast to Coast #161,Coast to Coast #161,Coast to Coast 160
S22E17,2010-01-30,2010-01-30,2010-01-30,,CP-2216,,Coast to Coast #162,Coast to Coast #162,Coast to Coast 161
S22E18,2010-02-13,2010-02-13,2010-02-13,,CP-2220,,"Chases, Stings and Rescues","Chases, Stings & Rescues","Chases, Stings & Rescues"
